"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@taz_oga","h@ckerM@n","el5antuario: Destaca #YoSoy132 a activistas de Atenco http://t.co/iU0QwDef","0","0","0","1342307403000","14 Jul 2012","taz_oga/status/224279621779210241","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@Pacameza","Francisca Meza","Clima rico para la playita pero con la tormenta solar mejor me quedo bajo techo. Lo bueno que se canceló la marcha #yosoy132 !!! #Acapulco","0","0","0","1342308269000","14 Jul 2012","Pacameza/status/224283256441413632","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132 | Acapulco"
"@HeraMunoz","Hera Muñoz","Organizaciones discuten en Atenco plan contra Peña http://t.co/z8QbtLOO El cambio verdadero esta en la juventud organizada #yosoy132","0","0","0","1342293590000","14 Jul 2012","HeraMunoz/status/224221688223637504","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@maracaxx","Maximo Ramos","Atenco analiza resultados de elección: Miembros de diversos grupos, encabezados por el movimiento #YoSoy132 y el... http://t.co/5mcPlaNq","0","0","0","1342307648000","14 Jul 2012","maracaxx/status/224280648502870016","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@PilarVentana2","pilar gonzalez","Comienza sexta asamblea interuniversitaria del movimiento #YoSoy132 http://t.co/TagyFG9f","0","0","0","1342300615000","14 Jul 2012","PilarVentana2/status/224251153125343232","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@LuisBaqueiro_mx","Luis Baqueiro","""@CNNMex: VIDEO: #YoSoy132 se reúne con más de 60 organizaciones en San Salvador Atenco http://t.co/SVGkHrgg""","0","0","0","1342310029000","14 Jul 2012","LuisBaqueiro_mx/status/224290638131240960","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@Optimo_iure","Manuel","Soy la raza cosmica de Vasconcelos y el orguyoso resistente indigena de Marcos. #YoSoy132","1","0","0","1342302042000","14 Jul 2012","Optimo_iure/status/224257136211918848","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@xeunoticias","xeu noticias","Empiezan a concentrarse en Plaza de la Soberanía los integrantes de #Yosoy132 y también de Morena. http://t.co/GNSBQfDx","1","1","0","1342303479000","14 Jul 2012","xeunoticias/status/224263161027637250","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Yosoy132"
"@_lilyspinelli","Lily 🌝","@thecherrysweet ajajajja mm de lunes a viernes por favor, pues haran marchas como la de #YoSoy132 jajajajajajja","0","0","0","1342309015000","14 Jul 2012","_lilyspinelli/status/224286385052467201","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@franciscoJ_romo","Francisco Romo","Me informan que el @El_Universal_Mx bajo de 10 pesos a 7.. #YoSoy132","0","0","0","1342295907000","14 Jul 2012","franciscoJ_romo/status/224231404442099712","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@BeccaVega","Lic. BeccaVega","“@kikesma: EN VIVO @nickops Avanza #MegaMarcha desde El Angel. http://t.co/OzS3pDU1 ""14julio Plazas Púbicas"" #AMLO #YoSoy132” @ensenadita","1","6","1","1342301151000","14 Jul 2012","BeccaVega/status/224253398298533888","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","MegaMarcha | AMLO | YoSoy132"
